city,SO2,temp,manu,popul,wind,precip,predays
Albany,46,-0.3635424004,-0.442732757889,1.1410743919,-1.21703847556,-0.676784258913,1.55902350087
Albuquerque,11,-0.167246414911,-0.301590876126,2.16139091282,-0.763088979004,-0.777145390224,-0.152319252554
Atlanta,24,-0.665374207201,1.0109596929,1.71649663618,-0.951964407415,-0.737349913972,-0.372767800494
Baltimore,47,-0.682574899787,0.964958223186,1.77427273973,-0.813799467827,-0.722144598828,-0.520711996477
Buffalo,11,-0.778036110393,1.14919130607,1.55268178,-0.97249610269,-0.839624448011,-0.11171642497
Charleston,31,-0.0951222950285,-0.551709311165,0.262010123534,-1.19590386364,-0.42174023479,2.00246558108
Chicago,110,-0.709345854715,1.40583390329,1.42189010476,-0.735164226692,-0.71972458335,-0.663489343291
Cincinnati,23,-0.714431392465,1.41027163345,1.36340318435,-0.958668088337,-0.792337170082,-0.308238166922
Cleveland,65,-0.722713915979,1.70429056288,1.05526398126,-0.821082007256,-0.760007591821,-0.455751029084
Columbus,26,-0.65628780447,0.503759996484,1.98559261868,-0.88829736466,-0.734651872702,-0.210115573334
Dallas,9,-0.639303855433,1.08478292369,1.69367230463,-0.805173721274,-0.730067366108,-0.603910285506
Denver,17,-0.643088806776,1.25490624519,1.54283884447,-0.84558566758,-0.826940851725,-0.482129763573
Des Moines,17,-0.542669108286,0.330682785078,1.87095794246,-1.14290004591,-0.830875233096,0.314803659744
Detroit,35,-0.697388011329,1.00160103948,1.75384054624,-0.764067593443,-0.729119450657,-0.564866530293
Hartford,56,-0.623200572827,2.06986892382,0.184942905223,-0.92078141277,-0.665722722774,-0.045107120668
Houston,10,-0.643697176318,0.778004087625,1.89426086901,-0.770366158737,-0.68884889105,-0.569352730527
Indianapolis,28,-0.645882514044,0.532811391519,2.00283780435,-0.808539982061,-0.697657989779,-0.383568709988
Jacksonville,14,-0.482388212249,-0.092843427794,2.17181781911,-0.825833022212,-0.562659792832,-0.208093364023
Kansas City,14,-0.664345248855,1.04471889101,1.70426584851,-0.897280483845,-0.755948992952,-0.431410013866
Little Rock,13,-0.313378975481,0.441548963311,1.47328381299,-1.64205214775,-0.627428998018,0.668027344949
Louisville,30,-0.637659664264,0.516388220574,1.99694243137,-0.869547790657,-0.698891856625,-0.307231340398
Memphis,10,-0.623293006804,0.638411470034,1.9532596358,-0.863355877488,-0.680559912979,-0.424462308566
Miami,10,-0.556302410172,0.658540107474,1.84104841362,-1.1706524286,-0.701344444598,-0.0712892377275
Milwaukee,16,-0.717264959719,1.12662224934,1.64811146574,-0.836714178881,-0.775862025048,-0.444892551426
Minneapolis,29,-0.734733964092,1.33076000375,1.47255592832,-0.838402540053,-0.790065884878,-0.440113543049
Nashville,18,-0.644096716471,0.747126379918,1.86346031162,-0.976415777065,-0.730564200199,-0.259509997804
New Orleans,9,-0.569471404443,0.584868271155,1.9203975937,-1.0790141205,-0.667551997366,-0.189228342547
Norfolk,31,-0.480744399938,-0.101018749366,2.09249182069,-0.984631026174,-0.632013855288,0.105916210073
Omaha,14,-0.589718745869,0.529016215653,1.96307029761,-0.940457274347,-0.77389966772,-0.188010825323
Philadelphia,69,-0.70401874313,1.25338978036,1.56181252316,-0.757813407572,-0.721555803739,-0.63181434908
Phoenix,10,-0.401301538303,0.296281198668,2.10012163274,-0.71562928874,-0.710496409456,-0.568975594912
Pittsburgh,61,-0.717776399758,0.863852189193,1.78637999057,-0.936410156153,-0.793391684287,-0.202653939567
Providence,94,-0.667273492639,1.93751567148,0.479544944804,-1.01754206966,-0.731726466836,-0.000518587148714
Richmond,26,-0.617800454001,0.768553126648,1.78441566419,-1.11776417346,-0.769283485335,-0.0481206780448
Salt Lake City,28,-0.46328198324,0.935755316181,1.57020246359,-1.15141312005,-1.04615996508,0.154897288597
San Francisco,12,-0.607920796589,0.864299346944,1.84132154666,-0.786236635321,-0.741806272171,-0.569657189528
Seattle,29,-0.74219778768,0.942602922472,1.72360233675,-0.956458811203,-0.805448463928,-0.162100196414
St. Louis,56,-0.682838255662,1.6408443492,1.14644379498,-0.832774110016,-0.747498092852,-0.524177685646
Washington,29,-0.648468371649,0.729440806402,1.91092385528,-0.824044799965,-0.715809247593,-0.452042242471
Wichita,8,-0.462180873532,0.314301157324,2.03981678145,-0.960537030763,-0.757561903399,-0.17383813108
Wilmington,36,-0.265716404277,0.512720385717,0.512720385717,-1.6130108485,-0.677389706677,1.53067618802